t,x,y,z,accuracy
1487862074.357,12.24212646484375,-31.86492919921875,-27.301025390625,3.0
1487862074.374,12.3504638671875,-31.97479248046875,-27.82745361328125,3.0
1487862074.391,12.40997314453125,-32.0343017578125,-28.11737060546875,3.0
1487862074.408,13.74969482421875,-31.884765625,-26.812744140625,3.0
1487862074.425,13.92974853515625,-31.86187744140625,-26.64947509765625,3.0
1487862074.441,14.764404296875,-31.3568115234375,-27.13775634765625,3.0
1487862074.458,14.5538330078125,-31.65283203125,-26.77001953125,3.0
1487862074.4750001,13.92364501953125,-32.54241943359375,-25.665283203125,3.0
1487862074.492,13.59405517578125,-32.37762451171875,-25.82550048828125,3.0
1487862074.5080001,13.25225830078125,-32.20367431640625,-25.99334716796875,3.0
1487862074.525,13.49639892578125,-33.68988037109375,-25.274658203125,3.0
1487862074.542,13.58795166015625,-34.23614501953125,-25.01220703125,3.0
1487862074.559,12.7685546875,-34.07135009765625,-25.1708984375,3.0
1487862074.576,12.6983642578125,-34.1461181640625,-25.25177001953125,3.0
1487862074.592,12.24212646484375,-34.91363525390625,-25.99334716796875,3.0
1487862074.609,12.579345703125,-34.91363525390625,-25.66375732421875,3.0
1487862074.626,13.25225830078125,-34.91363525390625,-25.01220703125,3.0
1487862074.6430001,12.5732421875,-34.2315673828125,-25.29449462890625,3.0
1487862074.66,12.07427978515625,-33.72802734375,-25.50201416015625,3.0
1487862074.676,10.8367919921875,-33.5906982421875,-26.70440673828125,3.0
1487862074.693,10.56060791015625,-33.55865478515625,-26.9744873046875,3.0
1487862074.71,11.2335205078125,-33.55865478515625,-26.9744873046875,3.0
1487862074.727,11.35406494140625,-33.43658447265625,-27.09197998046875,3.0
1487862074.743,11.90643310546875,-32.88116455078125,-27.6275634765625,3.0
1487862074.76,11.90643310546875,-32.45391845703125,-27.764892578125,3.0
1487862074.777,11.90643310546875,-31.86492919921875,-27.9541015625,3.0
1487862074.7940001,11.46087646484375,-31.19354248046875,-28.1707763671875,3.0
1487862074.811,11.2335205078125,-30.84869384765625,-28.28216552734375,3.0
1487862074.8270001,11.993408203125,-31.0028076171875,-28.72467041015625,3.0
1487862074.844,12.08648681640625,-30.95703125,-28.814697265625,3.0
1487862074.861,12.579345703125,-28.47900390625,-30.57098388671875,3.0
1487862074.878,12.5335693359375,-28.07464599609375,-30.87310791015625,3.0
1487862074.895,12.40997314453125,-26.95465087890625,-31.7138671875,3.0
1487862074.911,12.40997314453125,-26.09710693359375,-32.37762451171875,3.0
1487862074.928,12.40997314453125,-25.26092529296875,-33.0230712890625,3.0
1487862074.945,10.8978271484375,-24.2462158203125,-33.2672119140625,3.0
1487862074.9620001,10.39276123046875,-23.90594482421875,-33.349609375,3.0
1487862074.978,8.2275390625,-22.39990234375,-35.4522705078125,3.0
1487862074.9950001,8.44573974609375,-22.81341552734375,-35.3485107421875,3.0
1487862075.012,10.39276123046875,-26.27716064453125,-34.33074951171875,3.0
1487862075.029,11.16180419921875,-26.0986328125,-33.23516845703125,3.0
1487862075.046,12.579345703125,-25.76904296875,-31.22406005859375,3.0
1487862075.062,12.97760009765625,-27.17742919921875,-30.64117431640625,3.0
1487862075.079,13.25225830078125,-28.1402587890625,-30.242919921875,3.0
1487862075.096,13.1103515625,-29.69512939453125,-29.83245849609375,3.0
1487862075.113,13.0828857421875,-30.0018310546875,-29.75311279296875,3.0
1487862075.13,12.7471923828125,-28.64837646484375,-28.11737060546875,3.0
1487862075.1460001,12.9119873046875,-28.95050048828125,-28.47137451171875,3.0
1487862075.163,13.58795166015625,-30.17120361328125,-29.9163818359375,3.0
1487862075.18,14.0289306640625,-29.7271728515625,-29.486083984375,3.0
1487862075.197,14.5965576171875,-29.156494140625,-28.93524169921875,3.0
1487862075.213,13.7969970703125,-29.2724609375,-28.8238525390625,3.0
1487862075.23,13.42010498046875,-29.32586669921875,-28.77197265625,3.0
1487862075.247,15.27557373046875,-29.32586669921875,-28.16925048828125,3.0
1487862075.264,15.45867919921875,-29.30450439453125,-28.15093994140625,3.0
1487862075.2810001,15.9423828125,-28.8177490234375,-28.93524169921875,3.0
1487862075.297,15.46630859375,-29.010009765625,-29.21295166015625,3.0
1487862075.3140001,14.2608642578125,-29.4952392578125,-29.9163818359375,3.0
1487862075.331,13.555908203125,-29.1412353515625,-29.9163818359375,3.0
1487862075.348,12.9150390625,-28.8177490234375,-29.9163818359375,3.0
1487862075.364,13.30108642578125,-28.43017578125,-29.541015625,3.0
1487862075.381,13.42010498046875,-28.30963134765625,-29.42657470703125,3.0
1487862075.398,13.92364501953125,-27.801513671875,-29.26177978515625,3.0
1487862075.415,13.8580322265625,-27.99835205078125,-29.2816162109375,3.0
1487862075.432,13.42010498046875,-29.32586669921875,-29.42657470703125,3.0
1487862075.448,13.42010498046875,-29.4525146484375,-30.15289306640625,3.0
1487862075.465,13.42010498046875,-29.66461181640625,-31.3873291015625,3.0
1487862075.482,12.69683837890625,-28.93829345703125,-31.08673095703125,3.0
1487862075.499,12.24212646484375,-28.47900390625,-30.89752197265625,3.0
1487862075.516,12.24212646484375,-28.47900390625,-30.89752197265625,3.0
1487862075.532,12.24212646484375,-28.47900390625,-30.89752197265625,3.0
1487862075.549,11.73858642578125,-27.97088623046875,-31.060791015625,3.0
1487862075.566,11.4105224609375,-27.716064453125,-31.23626708984375,3.0
1487862075.583,10.22491455078125,-26.7852783203125,-31.878662109375,3.0
1487862075.599,9.686279296875,-26.5533447265625,-32.550048828125,3.0
1487862075.616,9.04693603515625,-26.27716064453125,-33.349609375,3.0
1487862075.6330001,9.75189208984375,-25.80413818359375,-32.6629638671875,3.0
1487862075.65,10.05706787109375,-25.59967041015625,-32.36846923828125,3.0
1487862075.667,8.79058837890625,-24.3255615234375,-32.6751708984375,3.0
1487862075.683,8.648681640625,-24.16229248046875,-32.794189453125,3.0
1487862075.7,7.70263671875,-22.88970947265625,-34.33074951171875,3.0
1487862075.717,7.8033447265625,-23.3001708984375,-33.935546875,3.0
1487862075.734,8.038330078125,-24.24468994140625,-33.0230712890625,3.0
1487862075.751,9.13543701171875,-25.3509521484375,-31.9549560546875,3.0
1487862075.767,10.05706787109375,-26.27716064453125,-31.060791015625,3.0
1487862075.784,10.58349609375,-28.67279052734375,-29.51812744140625,3.0
1487862075.801,10.72845458984375,-29.32586669921875,-29.0985107421875,3.0
1487862075.818,10.8978271484375,-30.17120361328125,-27.9541015625,3.0
1487862075.834,10.87188720703125,-30.2459716796875,-28.02581787109375,3.0
1487862075.851,10.72845458984375,-30.6793212890625,-28.4454345703125,3.0
1487862075.868,10.72845458984375,-30.28564453125,-28.57208251953125,3.0
1487862075.885,10.72845458984375,-29.66461181640625,-28.77197265625,3.0
1487862075.902,10.30426025390625,-29.66461181640625,-28.77197265625,3.0
1487862075.918,10.05706787109375,-29.66461181640625,-28.77197265625,3.0
1487862075.935,10.93597412109375,-29.9591064453125,-27.630615234375,3.0
1487862075.9520001,11.065673828125,-30.0018310546875,-27.46429443359375,3.0
1487862075.969,11.73858642578125,-29.66461181640625,-29.75311279296875,3.0
1487862075.986,11.4227294921875,-29.4281005859375,-29.5989990234375,3.0
1487862076.002,10.39276123046875,-28.64837646484375,-29.0985107421875,3.0
1487862076.019,9.91058349609375,-29.13360595703125,-28.94287109375,3.0
1487862076.036,9.3841552734375,-29.66461181640625,-28.77197265625,3.0
1487862076.053,9.7442626953125,-29.058837890625,-28.887939453125,3.0
1487862076.069,9.8876953125,-28.8177490234375,-28.93524169921875,3.0
1487862076.086,9.40399169921875,-29.3060302734375,-29.09088134765625,3.0
1487862076.103,9.37042236328125,-29.17938232421875,-29.18853759765625,3.0
1487862076.1200001,9.21630859375,-27.4627685546875,-30.242919921875,3.0
1487862076.137,8.8897705078125,-27.13623046875,-30.5572509765625,3.0
1487862076.153,8.2061767578125,-26.446533203125,-31.22406005859375,3.0
1487862076.17,7.73162841796875,-25.96893310546875,-31.500244140625,3.0
1487862076.187,7.36541748046875,-25.59967041015625,-31.7138671875,3.0
1487862076.204,8.1756591796875,-25.59967041015625,-30.6610107421875,3.0
1487862076.221,8.3740234375,-25.59967041015625,-30.40618896484375,3.0
1487862076.237,7.36541748046875,-25.59967041015625,-31.7138671875,3.0
1487862076.254,7.4493408203125,-25.3448486328125,-31.6314697265625,3.0
1487862076.2710001,7.8704833984375,-24.0753173828125,-31.22406005859375,3.0
1487862076.288,6.97479248046875,-23.8677978515625,-31.6925048828125,3.0
1487862076.3040001,5.68389892578125,-23.56719970703125,-32.36846923828125,3.0
1487862076.321,5.1361083984375,-22.796630859375,-33.75091552734375,3.0
1487862076.338,4.8431396484375,-22.38311767578125,-34.4940185546875,3.0
1487862076.355,4.0924072265625,-20.1171875,-34.930419921875,3.0
1487862076.372,4.01153564453125,-19.82421875,-34.97772216796875,3.0
1487862076.388,4.8431396484375,-18.31817626953125,-34.4940185546875,3.0
1487862076.404,4.71343994140625,-19.39697265625,-34.28497314453125,3.0
1487862076.421,4.33807373046875,-22.552490234375,-33.6761474609375,3.0
1487862076.438,5.0048828125,-23.89678955078125,-32.8643798828125,3.0
1487862076.455,5.68389892578125,-25.26092529296875,-32.04193115234375,3.0
1487862076.471,7.0465087890625,-27.38494873046875,-29.99114990234375,3.0
1487862076.488,7.53326416015625,-28.1402587890625,-29.26177978515625,3.0
1487862076.505,9.66949462890625,-29.63104248046875,-30.059814453125,3.0
1487862076.522,9.58404541015625,-29.4281005859375,-30.07965087890625,3.0
1487862076.538,8.3740234375,-27.29339599609375,-30.07965087890625,3.0
1487862076.555,8.3740234375,-27.40936279296875,-29.52117919921875,3.0
1487862076.572,8.3740234375,-27.63214111328125,-28.4454345703125,3.0
1487862076.589,8.9599609375,-29.00848388671875,-29.58221435546875,3.0
